Date,Open,High,Low,Close,Adj Close,Volume
03/03/2014,6264.350098,6277.75,6212.25,6221.450195,6221.450195,144600
04/03/2014,6216.75,6302.149902,6215.700195,6297.950195,6297.950195,166800
07/03/2014,6413.950195,6537.799805,6413.549805,6526.649902,6526.649902,284900
10/03/2014,6491.700195,6562.200195,6487.350098,6537.25,6537.25,242100
11/03/2014,6537.350098,6562.850098,6494.25,6511.899902,6511.899902,239000
12/03/2014,6497.5,6546.149902,6487.299805,6516.899902,6516.899902,175000
13/03/2014,6491.75,6561.450195,6476.649902,6493.100098,6493.100098,167900
14/03/2014,6447.25,6518.450195,6432.700195,6504.200195,6504.200195,177300
18/03/2014,6532.450195,6574.950195,6497.649902,6516.649902,6516.649902,179300
19/03/2014,6530,6541.200195,6506,6524.049805,6524.049805,172500
20/03/2014,6508.350098,6523.649902,6473.25,6483.100098,6483.100098,142000
21/03/2014,6515.200195,6522.899902,6485.700195,6493.200195,6493.200195,189900
22/03/2014,6518.1,6524.5,6490.3,6500.2,6500.2,190000
24/03/2014,6510.5,6591.5,6510.5,6583.5,6583.5,158400
25/03/2014,6550.100098,6595.549805,6544.850098,6589.75,6589.75,168100
26/03/2014,6615.649902,6627.450195,6580.600098,6601.399902,6601.399902,186600
27/03/2014,6613.100098,6673.950195,6599.5,6641.75,6641.75,312400
28/03/2014,6673.049805,6702.600098,6643.799805,6695.899902,6695.899902,184800
31/03/2014,6723.149902,6730.049805,6662.399902,6704.200195,6704.200195,220600
01/04/2014,6729.5,6732.25,6675.450195,6721.049805,6721.049805,177800
02/04/2014,6757.600098,6763.5,6723.600098,6752.549805,6752.549805,173300
03/04/2014,6772.049805,6776.75,6696.899902,6736.100098,6736.100098,197500
04/04/2014,6741.850098,6741.850098,6685.149902,6694.350098,6694.350098,155100
07/04/2014,6694.25,6725.149902,6650.399902,6695.049805,6695.049805,133900
09/04/2014,6722,6808.700195,6705.100098,6796.200195,6796.200195,169800
10/04/2014,6803.049805,6819.049805,6777.299805,6796.399902,6796.399902,191100
11/04/2014,6758.350098,6789.350098,6743.149902,6776.299805,6776.299805,140700
15/04/2014,6792.700195,6813.399902,6711.75,6733.100098,6733.100098,123200
16/04/2014,6727.25,6748.649902,6665.149902,6675.299805,6675.299805,119800
17/04/2014,6695.450195,6783.049805,6684.399902,6779.399902,6779.399902,131500
21/04/2014,6789.25,6825.450195,6786.899902,6817.649902,6817.649902,111800
22/04/2014,6822.899902,6838,6806.25,6815.350098,6815.350098,114700
23/04/2014,6823.25,6861.600098,6820.75,6840.799805,6840.799805,183000
24/04/2014,6850.3,6881.3,6830.6,6881.3,6881.3,185000
25/04/2014,6855.799805,6869.850098,6772.850098,6782.75,6782.75,154300
28/04/2014,6778.549805,6786.25,6750.299805,6761.25,6761.25,118200
29/04/2014,6769,6779.700195,6708.649902,6715.25,6715.25,115500
30/04/2014,6724.950195,6780.149902,6656.799805,6696.399902,6696.399902,161100
02/05/2014,6709.950195,6737.649902,6689.5,6694.799805,6694.799805,114300
05/05/2014,6681.649902,6741.049805,6680.450195,6699.350098,6699.350098,105000
06/05/2014,6719.25,6743.450195,6701.899902,6715.299805,6715.299805,88300
07/05/2014,6708.600098,6718.75,6642.899902,6652.549805,6652.549805,114100
08/05/2014,6669.899902,6688.399902,6638.549805,6659.850098,6659.850098,101600
09/05/2014,6654.149902,6871.350098,6652.149902,6858.799805,6858.799805,166400
12/05/2014,6863.399902,7020.049805,6862.899902,7014.25,7014.25,157700
13/05/2014,7080,7172.350098,7067.149902,7108.75,7108.75,232200
14/05/2014,7112,7142.25,7080.899902,7108.75,7108.75,177200
15/05/2014,7111.299805,7152.549805,7082.549805,7123.149902,7123.149902,186800
16/05/2014,7270.200195,7563.5,7130.649902,7203,7203,393200
19/05/2014,7276.850098,7291.100098,7193.549805,7263.549805,7263.549805,316200
